Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
Воробьевы Горы		Канатчиково, Кутузово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Воронок	Воронок	Соколовская, Щелково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Востряково	Востряково	Белые Столбы, Взлетная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Вохна	Вохна	Казанское, Павловский Посад	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Гагаринская	Гагаринская	Щелково, Чкаловская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Горенки	Горенки	Стройка, Балашиха	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Гривно	Гривно	Львовская, Весенняя	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Депо	Депо	Люблино-Сортировочное, Перерва	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Депо	ДепоДепо	Центральный, Северный	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Детково	Детково	Сандарово, Столбовая, 298 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Детская	ДетскаяДетская	Ивантеевка, Фрязино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Динамо		Мытищи, Победа	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Домодедово	Домодедово	Взлетная, Ленинская, Авиационная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Дрезна	Дрезна	Назарьево, Кабаново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Дудино-Серебряное	Дудино-Серебряное	Серебряные Пруды, 162 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Дулево	Дулёво	Руново, 122 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
ДУЛЕВО-НЕЧ	ЕСР: 231602		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
ДУЛЕВО-П	ЕСР: 231602		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Есино	Есино	Храпуново, Фрязево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Железнодорожная	Железнодорожная	Кучино, Черное	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Желтиково	Желтиково	61 км, 47 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Жилево	Жилёво	Ситенка, 85 км, Шматово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Заветы Ильича	Заветы Ильича	Пушкино, Правда	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Загорянская	Загорянская	Валентиновка, Соколовская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Захарово	Захарово	Ногинск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Зеленоградская	Зеленоградская	Правда, 43 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Зеленый Бор	Зелёный бор	Фабрика 1 Мая, Ивантеевка 2	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
ЗИЛ	Тульская	Нижние Котлы, Москва-Товарная-Павелецкая	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Ивантеевка	Ивантеевка	Ивантеевка 2, Детская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ивантеевка 2	Ивантеевка-2	Зеленый Бор, Ивантеевка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кабаново	Кабаново	87 км, Дрезна	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Казанское	Казанское	Фрязево, Вохна	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Калинина	Калинина	Ленинская, Расторгуево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Калистово	Калистово	Ашукинская, Радонеж	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Калитники	Калитники	Текстильщики, Москва-Товарная Курская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Канатчиково	ЕСР: 198372		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Карачарово	Карачарово	Чухлинка, Серп и Молот	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Кашино	Кашино	Монино, Колонтаево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кашира-Пассажирская	Кашира-Пассажирская	Тесна, Белопесоцкий, Кашира-Товарная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кашира-Товарная		Кашира-Пассажирская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Клемово	Клёмово	7 км, 12 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Клязьма	Клязьма	Тарасовская, Мамонтовская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ковригино	Ковригино	Ленская, 14 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кожухово	ЕСР: 199619		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Коломенское	Коломенское	Чертаново, Нижние Котлы	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Колонтаево	Колонтаево	Кашино, 64 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Колхозная	Молоди	Столбовая, Львовская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Колычево	Колычево	Сотниково, Шматово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кораблевка	Кораблёвка	Треполье (Рязанская область), Серебряные Пруды	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
